id,message,need_basic_supplies,need_medical_help,need_safety_rescue,need_shelter,people_status,msg_len
25154,"Belgium offered two C-130 transport planes and two helicopters to back up France's offensive, while Britain and Canada have offered troop transporters.",0,0,1,0,0,22
20027,"An appeal of CHF 3,056,180 was launched on 25 January to provide urgently needed food, quilts and fuel supplies to help 60,000 of the most vulnerable herders survive the harshest winter for 50 years.",1,0,0,1,0,34
24536,"Witnesses and media reports from Bhuj have suggested large scale pilferage of relief materials such as tents, plastic sheeting and food.",1,0,0,1,0,21
1737,"We need tents in the Merger area, Haitel mountain",0,0,0,1,0,9
7427,"we need the tent in the solidarity village, aiport road.please help us please ",0,0,0,1,0,13
30116,"Authorities have built tent compounds in flattened mountain towns along the fault line to keep refugees from flooding the cities, but have cordoned off some of the worst towns near the epicentre for fear that decaying bodies could host disease.",0,0,0,1,1,40
4302,"Help us here in Delmas 57 we need water and food and tents, please ",1,0,0,1,0,14
3777,"The people of Saut D'eau need help, please help them ",0,0,0,0,0,10
18271,"United States of America: Following a series of devastating tornados, the American Red Cross is providing shelter, food and emotional support across 12 of the southern states.",1,0,0,1,0,27
1004,"( No location ) We have no water and food, we have no tent, and the children are starting to be sick.",1,1,0,1,0,22
3502,"Not even a tent. Our children have fallen ill,",0,1,0,1,0,9
16089,"Every year, landslides kill more than 100 people, destroy 3,000-4,000 houses, affect 8,000-9,000 families, and cost USS$1 billion, according to the government.",0,0,0,0,1,22
1858,I am dying of hunger. .. Christ is coming ,1,0,0,0,1,9
20982,"Most of the deaths were caused by the tidal wave which engulfed coastal villages, or by flying debris and falling trees that crushed flimsy bamboo and tin homes -- the best that most people in the country can afford.",0,0,0,0,1,39
24818,"UNHCR representatives have urged President Kenyatta to keep the camp open, as forcibly repatriating refugees may create larger international humanitarian crises.",0,0,0,0,1,21
17206,"In the neighboring Gansu Province where more than 360 people were killed in the massive quake, water supply had been restored for 597,000 of the 647,400 affected.Although three districts of southern Somalia are the only parts of the Horn of Africa currently experiencing famine conditions, some eleven million people across the region in are currently estimated to be in need of food assistance following the worst drought in 60 years.",1,0,0,0,1,70
17941,Thailand: The Bureau of Epidemiology is investigating dengue hemorrhagic fever cases in Phuket following increased case reports.,0,1,0,0,1,17
15899,"The 8.7 magnitude earthquake centered off Sumatra's western coast wreaked wholesale destruction on the island of Nias yesterday (March 28, 2005), leaving anywhere from 300 to 2000 dead and early estimates of at least 25,000 displaced on Nias and other islands in the midst of widespread damage to structures, critical facilities, and lifelines.",0,0,0,0,1,53
22779,"Thousands of families have been forced to flee their homes and have taken refuge atop crumbling earthen dikes, which are also in danger of collapse.",0,0,0,1,1,25
20894,Save the Children continues to distribute non-food items to peolpe affected by the flood in northern Inhambane province and to re-unite separated chidren with their parents and families.,0,0,1,0,1,28
4655,"I am asking for some help in Leogan Route Lamitye, Jakmel, Zone Makasin, 15th Section. We have note received any aid at all. I am asking for you to pass on this message. ",0,0,0,0,0,33
